,name,artist,image,date_used
0,Confessions (Expanded Edition),Usher,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,
1,Dangerously In Love,Beyoncé,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1,
2,Hot Shot,Shaggy,https://i.scdn.co/image/ab67616d0000b2739449f9491c364d28a9668e17,
3,Love Angel Music Baby,Gwen Stefani,https://i.scdn.co/image/ab67616d0000b273f049fc9322f0c93646cdcc77,
4,The Essential R. Kelly,R. Kelly,https://i.scdn.co/image/ab67616d0000b2733ef7d540c94263b3780b2669,
5,Goodies,Ciara,https://i.scdn.co/image/ab67616d0000b273c1e3659212de0f437bbf395e,
6,Spice,Spice Girls,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59,
7,Beautiful Girls,Sean Kingston,https://i.scdn.co/image/ab67616d0000b2736a45d20e414fbc456ecea553,
8,Rolling Papers,Wiz Khalifa,https://i.scdn.co/image/ab67616d0000b273fe3cf32b1320e8ded39d8c74,
9,Graduation,Kanye West,https://i.scdn.co/image/ab67616d0000b2739bbd79106e510d13a9a5ec33,
10,souljaboytellem.com,Soulja Boy,https://i.scdn.co/image/ab67616d0000b2738a6a328ced07af494400584b,
11,The Fame,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2,
12,Planet Pit (Deluxe Version),Pitbull,https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19,
13,Good Girl Gone Bad: Reloaded,Rihanna,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98,
14,Spirit,Leona Lewis,https://i.scdn.co/image/ab67616d0000b27334fd9eb8cd48e518598aec55,
15,No Strings Attached,*NSYNC,https://i.scdn.co/image/ab67616d0000b273fceb9d92981970dbeea23257,
16,Replay,Iyaz,https://i.scdn.co/image/ab67616d0000b273ae7012fce99c2b2345b54f30,
17,Global Warming: Meltdown,Pitbull,https://i.scdn.co/image/ab67616d0000b27365045141bb6f165542741ded,
18,90s Better,ConKi,https://i.scdn.co/image/ab67616d0000b273e19d084521dfea3ed8cfab82,
19,Dream Your Life Away,Vance Joy,https://i.scdn.co/image/ab67616d0000b273d3dec4ae5b0234ab749b4b44,
20,Her,Cassy London,https://i.scdn.co/image/ab67616d0000b2733099ce27682a807a13b122d1,
21,The Marshall Mathers LP,Eminem,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,
22,Full Circle : Sonic Book 1,Omarion,https://i.scdn.co/image/ab67616d0000b2735bc116f1a9831e5f35abd60e,
23,Doo-Wops & Hooligans,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,
24,Wish You The Best,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b,
25,Up All Night,One Direction,https://i.scdn.co/image/ab67616d0000b273fd20e3d8ad722ecc509c3324,
26,All My Heroes,Naeleck,https://i.scdn.co/image/ab67616d0000b2733f611304c207d30e6c90cec3,
27,The Fame Monster,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273eb8bcd7eda9787adb4a977b1,
28,The Rokstarr Hits Collection,Taio Cruz,https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1,
29,TAKE ME HOME (Better or Worse) - EP,WYATT,https://i.scdn.co/image/ab67616d0000b273845bdc119b9169e4595b412a,
30,My World 2.0,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a,
31,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,https://i.scdn.co/image/ab67616d0000b273f051a314bb7eaa973c795176,
32,B.o.B Presents: The Adventures of Bobby Ray,B.o.B,https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b,
33,Irrational Behavior,A-Lister,https://i.scdn.co/image/ab67616d0000b2731c4db4128544ebe66e5affc7,
34,Rokstarr,Taio Cruz,https://i.scdn.co/image/ab67616d0000b273a9006ae892a2255a865c0f7a,
35,Through The Fire,Alex Alexander,https://i.scdn.co/image/ab67616d0000b2736d9a02b5ee8461419b916072,
36,#willpower,will.i.am,https://i.scdn.co/image/ab67616d0000b273e6082141bd7c86ae9f11ea26,
37,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,
38,Indestructible,Shab,https://i.scdn.co/image/ab67616d0000b273f31290632a44c4252aa45f22,
39,Justified,Justin Timberlake,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee,
40,Late Registration,Kanye West,https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2,
41,Hate Us (feat. Barachi & 1-800-Tommy),MoneyMatt305,https://i.scdn.co/image/ab67616d0000b273596fafe16b42e640c368ba1d,
42,Stankonia,Outkast,https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166,
43,The Trinity,Sean Paul,https://i.scdn.co/image/ab67616d0000b27369ba684e533706bafe248ef3,
44,Living in the Future,Band of Silver,https://i.scdn.co/image/ab67616d0000b2735ce0c0c9686718fbf6227d71,
45,Greatest Hits: My Prerogative,Britney Spears,https://i.scdn.co/image/ab67616d0000b2735028c2ac460025bffa43057e,
46,Fanmail,TLC,https://i.scdn.co/image/ab67616d0000b27361ffafd5e31a37336531cf95,
47,Survivor,Destiny's Child,https://i.scdn.co/image/ab67616d0000b273163cdae7f1e2c82786a84e3e,
48,Funny Ways,GOM3Z,https://i.scdn.co/image/ab67616d0000b2735da1c920fae9cfc96fd1eeb6,
